,INCIDENT_ID,INCIDENT_NUMBER,INCIDENT_NAME,INCTYP_ABBREVIATION,FINAL_ACRES,CAUSE,COMPLEX,DISCOVERY_DATE,DISCOVERY_DOY,EXPECTED_CONTAINMENT_DATE,FATALITIES,FUEL_MODEL,INCIDENT_DESCRIPTION,INC_IDENTIFIER,INJURIES_TOTAL,LL_CONFIDENCE,LL_UPDATE,LOCAL_TIMEZONE,POO_CITY,POO_COUNTY,POO_LATITUDE,POO_LONGITUDE,POO_SHORT_LOCATION_DESC,POO_STATE,PROJECTED_FINAL_IM_COST,START_YEAR,SUPPRESSION_METHOD,STR_DAMAGED_TOTAL,STR_DAMAGED_COMM_TOTAL,STR_DAMAGED_RES_TOTAL,STR_DESTROYED_TOTAL,STR_DESTROYED_COMM_TOTAL,STR_DESTROYED_RES_TOTAL,FATALITIES_RESPONDER,FATALITIES_PUBLIC,FINAL_REPORT_DATE,INCIDENT_ID_OLD,INC_MGMT_NUM_SITREPS,EVACUATION_REPORTED,PEAK_EVACUATIONS,STR_THREATENED_MAX,STR_THREATENED_COMM_MAX,STR_THREATENED_RES_MAX,TOTAL_AERIAL_SUM,TOTAL_PERSONNEL_SUM,WF_PEAK_AERIAL,WF_PEAK_AERIAL_DATE,WF_PEAK_AERIAL_DOY,WF_PEAK_PERSONNEL,WF_PEAK_PERSONNEL_DATE,WF_PEAK_PERSONNEL_DOY,WF_CESSATION_DATE,WF_CESSATION_DOY,WF_MAX_FSR,WF_MAX_GROWTH_DATE,WF_MAX_GROWTH_DOY,WF_GROWTH_DURATION,SUP_SERIES,SUP_METHOD_INITIAL,SUP_METHOD_FINAL,SUP_PERCENT_FS,FODJ_INCIDENT_ID,FOD_ID_LIST,FOD_FIRE_NUM,MTBS_FIRE_LIST,FOD_DISCOVERY_DOY,FOD_CONTAIN_DOY,FOD_CAUSE,FOD_FINAL_ACRES,FOD_FIRE_LIST,FOD_COORD_LIST,FOD_COMPLEX_NAME,FOD_CAUSE_NUM,FOD_COORD_NUM,MTBS_FIRE_NUM,LRGST_FOD_ID,LRGST_FOD_LATITUDE,LRGST_FOD_LONGITUDE,LRGST_MTBS_FIRE_INFO,LRGST_FOD_COORDS,FIRED_ID,FIRED_ACRES,FIRED_SIMPLE_FSR,FIRED_MAX_GROWTH,FIRED_IG_LON,FIRED_IG_LAT
62,1999_CA-BDF-_ROUSE,CA-BDF-,ROUSE,WF,1,O,FALSE,9/17/99,260,9/17/99,0,,,,0,,,,,,34.266666666666666,-117.15,,CA,,1999,,0,0,0,0,0,0,,,9/17/99,,1,,,,,,,,,9/17/99 0:00,260,,9/17/99 0:00,260,9/17/99 0:00,260,1,9/17/99 0:00,260,0,[nan],,,0,1999_CA-BDF-_ROUSE,[123533],1,,260,260,['Missing data/not specified/undetermined'],1.5,"[{'ID': 123533, 'COORDS': (34.26777778, -117.15222220000001), 'CAUSE': 'Missing data/not specified/undetermined', 'SIZE': 1.5, 'DISC': 260, 'CONT': 260.0}]","[(34.26777778, -117.15222220000001)]",,1,1,0,123533,34.26777778,-117.1522222,,"(34.26777778, -117.15222220000001)",,,,,,
63,1999_CA-BTU-6381_DUNSTONE,CA-RCC-,DUNSTONE           CA-BTU-6381,WF,200,H,FALSE,7/8/99,189,,0,,,,0,L,TRUE,,,,40.271991,-122.222514,"East of Palermo, CA",CA,,1999,,0,0,0,0,0,0,,,7/9/99,,2,,,,,,3,158,3,7/8/99 0:00,189,158,7/8/99 0:00,189,7/8/99 0:00,189,200,7/8/99 0:00,189,0,"[nan, nan]",,,0,,,,,,,,,,,,,,,,,,,"(nan, nan)",,,,,,
64,1999_CA-CNF-1186_BOUNDRY,CA-CNF-1186,BOUNDRY,WF,1,H,FALSE,6/12/99,163,6/13/99,0,,,,0,,,,,,33.833333333333336,-117.6166667,corona,CA,,1999,,0,0,0,0,0,0,,,6/13/99,,1,,,,,,,,,6/13/99 0:00,164,,6/13/99 0:00,164,6/13/99 0:00,164,1,6/13/99 0:00,164,1,[nan],,,0,1999_CA-CNF-1186_BOUNDRY,[118454],1,,163,163,['Missing data/not specified/undetermined'],1,"[{'ID': 118454, 'COORDS': (33.84277778, -117.61833329999999), 'CAUSE': 'Missing data/not specified/undetermined', 'SIZE': 1.0, 'DISC': 163, 'CONT': 163.0}]","[(33.84277778, -117.61833329999999)]",,1,1,0,118454,33.84277778,-117.6183333,,"(33.84277778, -117.61833329999999)",,,,,,
65,1999_CA-CNF-1188_BIG,CA-CNF-1188,BIG,WF,0,H,FALSE,6/13/99,164,13-Jun,0,,,,0,,,,,,32.9,-116.45,pine valley,CA,,1999,,0,0,0,0,0,0,,,6/13/99,,1,,,,,,,,,6/13/99 0:00,164,,6/13/99 0:00,164,,,0,6/13/99 0:00,164,,[nan],,,0,1999_CA-CNF-1188_BIG,[118373],1,,167,167,['Recreation and ceremony'],0.1,"[{'ID': 118373, 'COORDS': (32.89416667, -116.46305559999999), 'CAUSE': 'Recreation and ceremony', 'SIZE': 0.1, 'DISC': 167, 'CONT': 167.0}]","[(32.89416667, -116.46305559999999)]",,1,1,0,118373,32.89416667,-116.4630556,,"(32.89416667, -116.46305559999999)",,,,,,
66,1999_CA-CNF-1456_HONDA,CA-CNF-1456,HONDA,WF,0,H,FALSE,6/27/99,178,,0,,,,0,H,TRUE,,,,33.84888889,-33.84888889,,CA,,1999,,0,0,0,0,0,0,,,6/27/99,,1,,,,,,,,,6/27/99 0:00,178,,6/27/99 0:00,178,,,0,6/27/99 0:00,178,,[nan],,,0,1999_CA-CNF-1456_HONDA,[118358],1,,178,178,['Arson/incendiarism'],0.1,"[{'ID': 118358, 'COORDS': (33.84888889, -117.59888889999999), 'CAUSE': 'Arson/incendiarism', 'SIZE': 0.1, 'DISC': 178, 'CONT': 178.0}]","[(33.84888889, -117.59888889999999)]",,1,1,0,118358,33.84888889,-117.5988889,,"(33.84888889, -117.59888889999999)",,,,,,
67,1999_CA-CNF-1656_CONEJOS VALLEY,CA-CNF-1656,CONEJOS VALLEY,WF,298,L,FALSE,7/12/99,193,7/14/99,0,,,,0,,,,,,32.916666666666664,-116.7,Conejos Valley/San Diego,CA,,1999,,0,0,0,0,0,0,,,7/13/99,,1,,,,,,3,,3,7/13/99 0:00,194,,7/13/99 0:00,194,7/13/99 0:00,194,298,7/13/99 0:00,194,1,[nan],,,0,1999_CA-CNF-1656_CONEJOS VALLEY,[118386],1,,193,196,['Natural'],298,"[{'ID': 118386, 'COORDS': (32.91222222, -116.7302778), 'CAUSE': 'Natural', 'SIZE': 298.0, 'DISC': 193, 'CONT': 196.0}]","[(32.91222222, -116.7302778)]",,1,1,0,118386,32.91222222,-116.7302778,,"(32.91222222, -116.7302778)",,,,,,
68,1999_CA-CNF-2176_LAGUNA 100,CA-CNF-2176,LAGUNA 100,WF,4416,H,FALSE,8/14/99,226,8/16/99,0,,,,0,,,,,,32.86666666666667,-116.4,Mt Laguna,CA,569443,1999,,0,0,0,2,0,0,,,8/16/99,,3,,,,,,,806,,8/14/99 0:00,226,806,8/16/99 0:00,228,8/16/99 0:00,228,3416,8/16/99 0:00,228,2,"[nan, nan, nan]",,,0,1999_CA-CNF-2176_LAGUNA 100,[118439],1,['CA3289611642519990814-LAGUNA 100'],226,229,['Arson/incendiarism'],4416,"[{'ID': 118439, 'MTBS_ID': 'CA3289611642519990814(LAGUNA 100)', 'COORDS': (32.88, -116.41666670000001), 'CAUSE': 'Arson/incendiarism', 'SIZE': 4416.0, 'DISC': 226, 'CONT': 229.0}]","[(32.88, -116.41666670000001)]",,1,1,1,118439,32.88,-116.4166667,CA3289611642519990814(LAGUNA 100),"(32.88, -116.41666670000001)",,,,,,
69,1999_CA-CNF-2685_LA JOLLA,CA-CNF-2685,LA JOLLA,WF,7700,H,FALSE,9/30/99,273,,0,,,,0,,,,,,33.266666666666666,-116.85,Warner Springs,CA,3840000,1999,,0,0,0,0,0,0,,,10/8/99,,7,,,,,,20,2781,9,10/5/99 0:00,278,923,10/5/99 0:00,278,10/5/99 0:00,278,1833.3333333333333,10/5/99 0:00,278,5,"[nan, nan, nan, nan, nan, nan, nan]",,,0,1999_CA-CNF-2685_LA JOLLA,[118481],1,['CA3327311679219990930-LA JOLLA'],273,278,['Debris and open burning'],6800,"[{'ID': 118481, 'MTBS_ID': 'CA3327311679219990930(LA JOLLA)', 'COORDS': (33.27388889, -116.85694440000002), 'CAUSE': 'Debris and open burning', 'SIZE': 6800.0, 'DISC': 273, 'CONT': 278.0}]","[(33.27388889, -116.85694440000002)]",,1,1,1,118481,33.27388889,-116.8569444,CA3327311679219990930(LA JOLLA),"(33.27388889, -116.85694440000002)",,,,,,
70,1999_CA-CNF-38_FORD,CA-CNF-38,FORD,WF,0,H,FALSE,6/21/99,172,6/21/99,0,,,,0,,,,,,32.8,-116.5166667,,CA,,1999,,0,0,0,0,0,0,,,6/21/99,,1,,,,,,,,,6/21/99 0:00,172,,6/21/99 0:00,172,,,0,6/21/99 0:00,172,,[nan],,,0,1999_CA-CNF-38_FORD,[118411],1,,172,172,['Equipment and vehicle use'],0.1,"[{'ID': 118411, 'COORDS': (32.82277778, -116.56222220000001), 'CAUSE': 'Equipment and vehicle use', 'SIZE': 0.1, 'DISC': 172, 'CONT': 172.0}]","[(32.82277778, -116.56222220000001)]",,1,1,0,118411,32.82277778,-116.5622222,,"(32.82277778, -116.56222220000001)",,,,,,
71,1999_CA-CNF-39_TURNOUT,CA-CNF-39,TURNOUT,WF,0,H,FALSE,6/21/99,172,6/21/99,0,,,,0,,,,,,33.68333333333333,-117.55,lake elsinore,CA,,1999,,0,0,0,0,0,0,,,6/21/99,,1,,,,,,,,,6/21/99 0:00,172,,6/21/99 0:00,172,,,0,6/21/99 0:00,172,,[nan],,,0,1999_CA-CNF-39_TURNOUT,[118456],1,,172,172,['Arson/incendiarism'],0.1,"[{'ID': 118456, 'COORDS': (33.67666667, -117.455), 'CAUSE': 'Arson/incendiarism', 'SIZE': 0.1, 'DISC': 172, 'CONT': 172.0}]","[(33.67666667, -117.455)]",,1,1,0,118456,33.67666667,-117.455,,"(33.67666667, -117.455)",,,,,,
72,1999_CA-ENF-6801_CAPPS,CA-ENF-6801,CAPPS,WF,0,H,FALSE,6/15/99,166,,0,,,,0,H,TRUE,,,,38.64722222,-38.64722222,,CA,,1999,,0,0,0,0,0,0,,,6/16/99,,2,,,,,,,,,6/15/99 0:00,166,,6/15/99 0:00,166,,,0,6/15/99 0:00,166,,"[nan, nan]",,,0,1999_CA-ENF-6801_CAPPS,[118131],1,,166,166,['Missing data/not specified/undetermined'],1.5,"[{'ID': 118131, 'COORDS': (38.64722222, -120.48888889999999), 'CAUSE': 'Missing data/not specified/undetermined', 'SIZE': 1.5, 'DISC': 166, 'CONT': 166.0}]","[(38.64722222, -120.48888889999999)]",,1,1,0,118131,38.64722222,-120.4888889,,"(38.64722222, -120.48888889999999)",,,,,,
73,1999_CA-HIA-9-127_HOOPA,CA-HIA-9-127,HOOPA,WF,40,H,FALSE,7/23/99,204,23-Jul,0,,,,0,H,TRUE,,,,41.0499,-41.0499,Hoopa Indian Reservation,CA,,1999,,0,0,0,6,0,3,,,7/24/99,,2,,,15,,10,,,,7/23/99 0:00,204,,7/23/99 0:00,204,7/24/99 0:00,205,20,7/23/99 0:00,204,1,"[nan, nan]",,,0,1999_CA-HIA-9-127_HOOPA,[194140],1,,204,204,['Arson/incendiarism'],54,"[{'ID': 194140, 'COORDS': (41.0499, -123.6845), 'CAUSE': 'Arson/incendiarism', 'SIZE': 54.0, 'DISC': 204, 'CONT': 204.0}]","[(41.0499, -123.6845)]",,1,1,0,194140,41.0499,-123.6845,,"(41.0499, -123.6845)",,,,,,
74,1999_CA-HIA-9-161_MILL RIDGE,CA-HIA-9-161,MILL RIDGE,WF,15,H,FALSE,8/26/99,238,8/27/98,0,,,,0,,,,,,41.15,-123.65,"HOOPA, CA",CA,,1999,,0,0,0,0,0,0,,,8/30/99,,3,,,,,,3,108,2,8/26/99 0:00,238,54,8/27/99 0:00,239,8/26/99 0:00,238,15,8/26/99 0:00,238,0,"[nan, nan, nan]",,,0,1999_CA-HIA-9-161_MILL RIDGE,[194160],1,,238,238,['Arson/incendiarism'],15,"[{'ID': 194160, 'COORDS': (41.1499, -123.6345), 'CAUSE': 'Arson/incendiarism', 'SIZE': 15.0, 'DISC': 238, 'CONT': 238.0}]","[(41.1499, -123.6345)]",,1,1,0,194160,41.1499,-123.6345,,"(41.1499, -123.6345)",,,,,,
75,1999_CA-HIA-9-181_SUGAR PINE,CA-HIA-9-181,SUGAR PINE,WF,0,H,FALSE,9/18/99,261,,0,,,,0,H,TRUE,,,,41.0499,-41.0499,3 MI. WEST OF HOOPA AIRPORT,CA,,1999,,0,0,0,0,0,0,,,9/18/99,,1,,,,,,1,,1,9/18/99 0:00,261,,9/18/99 0:00,261,,,0,9/18/99 0:00,261,,[nan],,,0,1999_CA-HIA-9-181_SUGAR PINE,[194171],1,,261,262,['Arson/incendiarism'],3,"[{'ID': 194171, 'COORDS': (41.0499, -123.7678), 'CAUSE': 'Arson/incendiarism', 'SIZE': 3.0, 'DISC': 261, 'CONT': 262.0}]","[(41.0499, -123.7678)]",,1,1,0,194171,41.0499,-123.7678,,"(41.0499, -123.7678)",,,,,,
76,1999_CA-INF-110_DIVISION,CA-INF-110,DIVISION,WF,2500,H,FALSE,3/30/99,89,4/1/99,0,,,,0,,,,,,36.083333333333336,-118.4,Aberdeen and Hwy 395,CA,350000,1999,,0,0,0,3,0,3,,,4/11/99,,3,,,,,,,1329,,3/30/99 0:00,89,586,3/31/99 0:00,90,3/31/99 0:00,90,2250,3/30/99 0:00,89,1,"[nan, nan, nan]",,,0,1999_CA-INF-110_DIVISION,[122493],1,['CA3693711828819990330-DIVISION'],89,97,['Debris and open burning'],2450,"[{'ID': 122493, 'MTBS_ID': 'CA3693711828819990330(DIVISION)', 'COORDS': (36.93472222, -118.31638889999999), 'CAUSE': 'Debris and open burning', 'SIZE': 2450.0, 'DISC': 89, 'CONT': 97.0}]","[(36.93472222, -118.31638889999999)]",,1,1,1,122493,36.93472222,-118.3163889,CA3693711828819990330(DIVISION),"(36.93472222, -118.31638889999999)",,,,,,
77,1999_CA-JTP-99-3739_JUNIPER COMPLEX,CA-JTP-99-3739,JUNIPER COMPLEX,WF,13900,L,TRUE,5/27/99,147,5/31/99,0,,,,0,,,,,,34.06666666666667,-116.3666667,2 MILES EAST OF DESERT HOT SPRINGS,CA,1358844,1999,,0,0,0,1,0,0,,,6/3/99,,6,,,1,,1,18,2637,5,5/30/99 0:00,150,740,5/30/99 0:00,150,5/31/99 0:00,151,8700,5/30/99 0:00,150,4,"[nan, nan, nan, nan, nan, nan]",,,0,1999_CA-JTP-99-3739_JUNIPER COMPLEX,"[247711, 247713, 247714]",3,['CA3401011623119990527-JUNIPER COMPLEX (FIRE #3)'],147,154,['Natural'],14005.2,"[{'ID': 247711, 'COORDS': (34.041709999999995, -116.22255), 'CAUSE': 'Natural', 'SIZE': 0.2, 'DISC': 147, 'CONT': 148.0}, {'ID': 247713, 'MTBS_ID': 'CA3401011623119990527(JUNIPER COMPLEX (FIRE #3))', 'COORDS': (34.00251, -116.29583999999998), 'CAUSE': 'Natural', 'SIZE': 14000.0, 'DISC': 147, 'CONT': 154.0}, {'ID': 247714, 'COORDS': (34.00251, -116.29583999999998), 'CAUSE': 'Natural', 'SIZE': 5.0, 'DISC': 147, 'CONT': 154.0}]","[(34.041709999999995, -116.22255), (34.00251, -116.29583999999998)]",JUNIPER COMPLEX,1,2,1,247713,34.00251,-116.29584,CA3401011623119990527(JUNIPER COMPLEX (FIRE #3)),"(34.00251, -116.29583999999998)",,,,,,
78,1999_CA-KNF-2730_HAPPY CAMP ABC,CA-KNF-2730,HAPPY CAMP ABC,WF,181,L,FALSE,7/24/99,205,,0,,,,0,N,TRUE,,,,,,"Happy Camp, Ca",CA,1000000,1999,,0,0,0,0,0,0,,,7/29/99,,6,,,,,,35,2075,9,7/25/99 0:00,206,775,7/26/99 0:00,207,7/26/99 0:00,207,61,7/25/99 0:00,206,2,"[nan, nan, nan, nan, nan, nan]",,,0,,,,,,,,,,,,,,,,,,,"(nan, nan)",,,,,,
